path,fun_name,lineno
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Device.cpp,THPDevice_reduce,141
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Dtype.cpp,THPDtype_reduce,54
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_addDocStr,226
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_hasDistributed,328
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_safeCall,206
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_setDefaultTensorType,190
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_setDefaultDtype,198
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_inferSize,285
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_userEnabledCuDNN,411
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_setUserEnabledCuDNN,403
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_userEnabledMkldnn,425
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_setUserEnabledMkldnn,417
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_benchmarkCuDNN,459
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_setBenchmarkCuDNN,445
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_deterministicCuDNN,439
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_setDeterministicCuDNN,431
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_toDLPack,366
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_fromDLPack,375
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_setFlushDenormal,465
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_getDefaultDtype,474
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_getDefaultDevice,483
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_qEngine,500
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_setQEngine,491
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_supportedQEngines,505
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\Module.cpp,THPModule_isEnabledXNNPACK,519
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\QScheme.cpp,THPQScheme_reduce,25
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\autograd\python_engine.cpp,THPEngine_run_backward,109
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\autograd\python_engine.cpp,THPEngine_queue_callback,218
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\autograd\python_engine.cpp,THPEngine_is_checkpoint_valid,232
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\autograd\python_function.cpp,THPFunction_apply,611
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\autograd\python_function.cpp,THPFunction_do_backward,726
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\autograd\python_function.cpp,THPFunction__register_hook_dict,793
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\autograd\python_function.cpp,THPFunction_register_hook,811
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_setDevice_wrap,62
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_getDevice_wrap,75
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_getDeviceCount_wrap,85
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_getCurrentStream_wrap,99
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_getDefaultStream_wrap,110
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_getCurrentBlasHandle_wrap,477
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_setStream_wrap,121
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_isDriverSufficient,140
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_getDriverVersion,150
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_getCompiledVersion,163
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_hasPrimaryContext,265
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_emptyCache,278
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_memoryStats,286
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_resetAccumulatedMemoryStats,336
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_resetPeakMemoryStats,346
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_memorySnapshot,356
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_cudaHostAllocator,168
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_cudaCachingAllocator_raw_alloc,176
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_cudaCachingAllocator_raw_delete,196
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_cudaSynchronize,204
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_cudaIPCCollect,212
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_cudaSleep,220
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_cudaLockMutex,236
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\cuda\Module.cpp,THCPModule_cudaUnlockMutex,257
F:\DLFs_dataset\pytorch\pytorch-1.5.0\torch\csrc\distributed\autograd\init.cpp,dist_autograd_init,19
